timestep,site,spp,count
18,11,spp1,54
18,12,spp1,46
18,1,spp2,0
18,2,spp2,0
18,3,spp2,0
18,4,spp2,0
18,5,spp2,0
18,6,spp2,0
18,7,spp2,103
18,8,spp2,0
18,9,spp2,103
18,10,spp2,0
18,11,spp2,0
18,12,spp2,0
18,1,spp3,22
18,2,spp3,3
18,3,spp3,3
18,4,spp3,89
18,5,spp3,63
18,6,spp3,51
18,7,spp3,0
18,8,spp3,0
18,9,spp3,0
18,10,spp3,55
18,11,spp3,49
18,12,spp3,55
18,1,spp4,0
18,2,spp4,0
18,3,spp4,0
18,4,spp4,13
18,5,spp4,39
18,6,spp4,51
18,7,spp4,0
18,8,spp4,0
18,9,spp4,0
18,10,spp4,0
18,11,spp4,0
18,12,spp4,0
18,1,spp5,0
18,2,spp5,0
18,3,spp5,0
18,4,spp5,0
18,5,spp5,0
18,6,spp5,0
18,7,spp5,0
18,8,spp5,101
18,9,spp5,0
18,10,spp5,0
18,11,spp5,0
18,12,spp5,0
19,1,spp1,74
19,2,spp1,100
19,3,spp1,100
19,4,spp1,0
19,5,spp1,0
19,6,spp1,0
19,7,spp1,0
19,8,spp1,0
19,9,spp1,0
19,10,spp1,49
19,11,spp1,63
19,12,spp1,47
19,1,spp2,0
19,2,spp2,0
19,3,spp2,0
19,4,spp2,0
19,5,spp2,0
19,6,spp2,0
19,7,spp2,103
19,8,spp2,0
19,9,spp2,103
19,10,spp2,0
19,11,spp2,0
19,12,spp2,0
19,1,spp3,28
19,2,spp3,2
19,3,spp3,2
19,4,spp3,83
19,5,spp3,60
19,6,spp3,51
19,7,spp3,0
19,8,spp3,0
19,9,spp3,0
19,10,spp3,52
19,11,spp3,40
19,12,spp3,54
19,1,spp4,0
19,2,spp4,0
19,3,spp4,0
19,4,spp4,19
19,5,spp4,42
19,6,spp4,51
19,7,spp4,0
19,8,spp4,0
19,9,spp4,0
19,10,spp4,0
19,11,spp4,0
19,12,spp4,0
19,1,spp5,0
19,2,spp5,0
19,3,spp5,0
19,4,spp5,0
19,5,spp5,0
19,6,spp5,0
19,7,spp5,0
19,8,spp5,101
19,9,spp5,0
19,10,spp5,0
19,11,spp5,0
19,12,spp5,0
20,1,spp1,71
20,2,spp1,102
20,3,spp1,100
20,4,spp1,0
20,5,spp1,0
20,6,spp1,0
20,7,spp1,0
20,8,spp1,0
20,9,spp1,0
20,10,spp1,50
20,11,spp1,60
20,12,spp1,54
20,1,spp2,0
20,2,spp2,0
20,3,spp2,0
20,4,spp2,0
20,5,spp2,0
20,6,spp2,0
20,7,spp2,103
20,8,spp2,0
20,9,spp2,103
20,10,spp2,0
20,11,spp2,0
20,12,spp2,0
20,1,spp3,31
20,2,spp3,0
20,3,spp3,2
20,4,spp3,74
20,5,spp3,53
20,6,spp3,51
20,7,spp3,0
20,8,spp3,0
20,9,spp3,0
20,10,spp3,51
20,11,spp3,43
20,12,spp3,47
20,1,spp4,0
20,2,spp4,0
20,3,spp4,0
20,4,spp4,28
20,5,spp4,49
20,6,spp4,51
20,7,spp4,0
20,8,spp4,0
20,9,spp4,0
20,10,spp4,0
20,11,spp4,0
20,12,spp4,0
20,1,spp5,0
20,2,spp5,0
20,3,spp5,0
20,4,spp5,0
20,5,spp5,0
20,6,spp5,0
20,7,spp5,0
20,8,spp5,101
20,9,spp5,0
20,10,spp5,0
20,11,spp5,0
20,12,spp5,0
21,1,spp1,68
21,2,spp1,101
21,3,spp1,100
21,4,spp1,0
21,5,spp1,0
21,6,spp1,0
21,7,spp1,0
21,8,spp1,0
21,9,spp1,0
21,10,spp1,54
21,11,spp1,71
21,12,spp1,56
21,1,spp2,0
21,2,spp2,0
21,3,spp2,0
21,4,spp2,0
21,5,spp2,0
21,6,spp2,0
21,7,spp2,103
21,8,spp2,0
21,9,spp2,103
21,10,spp2,0
21,11,spp2,0
21,12,spp2,0
21,1,spp3,34
21,2,spp3,1
21,3,spp3,2
21,4,spp3,72
21,5,spp3,53
21,6,spp3,54
21,7,spp3,0
21,8,spp3,0
21,9,spp3,0
21,10,spp3,47
21,11,spp3,32
21,12,spp3,45
21,1,spp4,0
21,2,spp4,0
21,3,spp4,0
21,4,spp4,30
21,5,spp4,49
21,6,spp4,48
21,7,spp4,0
21,8,spp4,0
21,9,spp4,0
21,10,spp4,0
21,11,spp4,0
21,12,spp4,0
21,1,spp5,0
21,2,spp5,0
21,3,spp5,0
21,4,spp5,0
21,5,spp5,0
21,6,spp5,0
21,7,spp5,0
21,8,spp5,101
21,9,spp5,0
21,10,spp5,0
21,11,spp5,0
21,12,spp5,0
22,1,spp1,78
22,2,spp1,100
22,3,spp1,100
22,4,spp1,0
22,5,spp1,0
22,6,spp1,0
22,7,spp1,0
22,8,spp1,0
22,9,spp1,0
22,10,spp1,58
22,11,spp1,72
22,12,spp1,70
22,1,spp2,0
22,2,spp2,0
22,3,spp2,0
22,4,spp2,0
22,5,spp2,0
22,6,spp2,0
22,7,spp2,103
22,8,spp2,0
22,9,spp2,103
22,10,spp2,0
22,11,spp2,0
22,12,spp2,0
22,1,spp3,24
22,2,spp3,2
22,3,spp3,2
22,4,spp3,73
22,5,spp3,44
22,6,spp3,56
22,7,spp3,0
22,8,spp3,0
22,9,spp3,0
22,10,spp3,43
22,11,spp3,31
22,12,spp3,31
22,1,spp4,0
22,2,spp4,0
22,3,spp4,0
22,4,spp4,29
22,5,spp4,58
22,6,spp4,46
22,7,spp4,0
22,8,spp4,0
22,9,spp4,0
22,10,spp4,0
22,11,spp4,0
22,12,spp4,0
22,1,spp5,0
22,2,spp5,0
22,3,spp5,0
22,4,spp5,0
22,5,spp5,0
22,6,spp5,0
22,7,spp5,0
22,8,spp5,101
22,9,spp5,0
22,10,spp5,0
22,11,spp5,0
22,12,spp5,0
23,1,spp1,80
23,2,spp1,100
23,3,spp1,100
23,4,spp1,0
