timestep,site,spp,count
16,4,spp1,47
16,5,spp1,23
16,6,spp1,26
16,7,spp1,26
16,8,spp1,39
16,9,spp1,31
16,10,spp1,26
16,11,spp1,12
16,12,spp1,23
16,1,spp2,22
16,2,spp2,30
16,3,spp2,18
16,4,spp2,14
16,5,spp2,15
16,6,spp2,33
16,7,spp2,37
16,8,spp2,28
16,9,spp2,26
16,10,spp2,23
16,11,spp2,34
16,12,spp2,16
16,1,spp3,0
16,2,spp3,4
16,3,spp3,0
16,4,spp3,0
16,5,spp3,1
16,6,spp3,0
16,7,spp3,0
16,8,spp3,0
16,9,spp3,2
16,10,spp3,13
16,11,spp3,0
16,12,spp3,1
16,1,spp4,15
16,2,spp4,10
16,3,spp4,15
16,4,spp4,14
16,5,spp4,35
16,6,spp4,12
16,7,spp4,13
16,8,spp4,13
16,9,spp4,4
16,10,spp4,6
16,11,spp4,17
16,12,spp4,14
16,1,spp5,41
16,2,spp5,34
16,3,spp5,43
16,4,spp5,27
16,5,spp5,28
16,6,spp5,31
16,7,spp5,26
16,8,spp5,22
16,9,spp5,39
16,10,spp5,35
16,11,spp5,38
16,12,spp5,49
17,1,spp1,29
17,2,spp1,23
17,3,spp1,30
17,4,spp1,51
17,5,spp1,22
17,6,spp1,27
17,7,spp1,26
17,8,spp1,37
17,9,spp1,36
17,10,spp1,22
17,11,spp1,11
17,12,spp1,25
17,1,spp2,17
17,2,spp2,33
17,3,spp2,13
17,4,spp2,13
17,5,spp2,23
17,6,spp2,30
17,7,spp2,39
17,8,spp2,34
17,9,spp2,23
17,10,spp2,26
17,11,spp2,38
17,12,spp2,14
17,1,spp3,0
17,2,spp3,2
17,3,spp3,0
17,4,spp3,0
17,5,spp3,1
17,6,spp3,0
17,7,spp3,0
17,8,spp3,0
17,9,spp3,0
17,10,spp3,12
17,11,spp3,0
17,12,spp3,2
17,1,spp4,14
17,2,spp4,5
17,3,spp4,13
17,4,spp4,6
17,5,spp4,25
17,6,spp4,13
17,7,spp4,12
